Fidelity,Phi,Susceptibility
0.25,0.004978706836786395,0.025050293786374595
0.2525083612040134,0.005041542021869274,0.025208370963645737
0.25501672240802675,0.005105170236269567,0.025526520376146448
0.25752508361204013,0.0051696014886392395,0.02584868508375879
0.2600334448160535,0.005234845913947287,0.02617491576265444
0.2625418060200669,0.005300913775073961,0.02650526372858013
0.26505016722408026,0.0053678154644251136,0.026839780944928372
0.26755852842809363,0.005435561505566912,0.027178520030909092
0.270066889632107,0.005504162554881179,0.027521534269828337
0.2725752508361204,0.005573629403241636,0.027868877617468805
0.27508361204013376,0.00564397297771129,0.02822060471057719
0.27759197324414714,0.005715204343261254,0.02857677087546137
0.2801003344481605,0.0057873347045112634,0.028937432136688524
0.2826086956521739,0.005860375407492133,0.02930264522589737
0.28511705685618727,0.005934337941430481,0.0296724675907297
0.2876254180602007,0.006009233940555994,0.03004695740385805
0.290133779264214,0.006085075185931441,0.03042617357214063
0.29264214046822745,0.006161873607305864,0.030810175745886514
0.2951505016722408,0.006239641284991072,0.03119902432823811
0.2976588628762542,0.0063183904517619075,0.03159278048467428
0.3001672240802676,0.006398133494780408,0.03199150615262566
0.30267558528428096,0.00647888295754431,0.03239526405122798
0.30518394648829433,0.006560651541860147,0.03280411769117979
0.3076923076923077,0.006643452109841199,0.033218131384730884
0.3102006688963211,0.006727297685930703,0.03363737025580509
0.31270903010033446,0.006812201458950589,0.03406190025024184
0.31521739130434784,0.006898176784176063,0.03449178814616804
0.3177257525083612,0.006985237185436382,0.03492710156450283
0.3202341137123746,0.007073396357242131,0.0353679089795926
0.32274247491638797,0.007162668166939354,0.035814279729984896
0.32525083612040134,0.007253066656890884,0.03626628402933825
0.3277591973244147,0.007344606046685198,0.03672399297745743
0.3302675585284281,0.007437300735373112,0.03718747857148025
0.33277591973244147,0.007531165303732758,0.0376568137172118
0.33528428093645485,0.007626214516563138,0.038132072240585076
0.3377926421404682,0.007722463325006596,0.038613328899268946
0.3403010033444816,0.007819926868900607,0.039100659394432156
0.342809364548495,0.007918620479159266,0.03959414038265856
0.34531772575250835,0.008018559680184847,0.04009384948799623
0.34782608695652173,0.008119760192309748,0.04059986531416433
0.3503344481605351,0.008222237934269284,0.04111226745692613
0.3528428093645485,0.008326009025705699,0.041631136516607346
0.35535117056856186,0.008431089789703769,0.04215655411077139
0.35785953177257523,0.008537496755358398,0.04268860288705918
0.36036789297658867,0.008645246660374634,0.043227366536189735
0.362876254180602,0.008754356453700486,0.0437729298051243
0.3653846153846154,0.008864843298192983,0.04432537851039897
0.36789297658862874,0.008976724573317873,0.044884799551620745
0.37040133779264217,0.009090017877883388,0.04545128092513551
0.3729096989966555,0.009204741032808519,0.04602491173787653
0.3754180602006689,0.009320912083926247,0.04660578222137337
0.37792642140468224,0.009438549304822097,0.047193983745949214
0.3804347826086957,0.0095576711997086,0.047789608835091216
0.382943143812709,0.009678296506335933,0.04839275118000775
0.38545150501672243,0.009800444198939409,0.049003505654362865
0.38795986622073575,0.00992413349122404,0.049621968329197685
0.3904682274247492,0.010049383839386888,0.05024823648805143
0.39297658862876256,0.010176214945177476,0.05088240864225142
0.39548494983277593,0.010304646758996845,0.05152458454641793
0.3979933110367893,0.01043469948303576,0.052174865214154986
0.4005016722408027,0.010566393574452472,0.052833352933934506
0.40301003344481606,0.010699749748590615,0.05350015128518997
0.40551839464882944,0.010834788982237706,0.054175365154608246
0.4080267558528428,0.01097153251692477,0.05485910075263023
0.4105351170568562,0.011110001862267623,0.055551465630152785
0.41304347826086957,0.011250218799350285,0.05625256869545093
0.41555183946488294,0.011392205384151156,0.05696252023130952
0.4180602006688963,0.011535983951012373,0.05768143191236566
0.4205685618729097,0.01168157711615299,0.058409416822680166
0.4230769230769231,0.011829007781226487,0.05914658947352155
0.42558528428093645,0.011978299136923165,0.0598930658213815
0.4280936454849498,0.012129474666618033,0.060648963286213206
0.4306020066889632,0.012282558150064703,0.061414400769902996
0.43311036789297663,0.01243757366713594,0.06218949867496915
0.43561872909698995,0.01259454560161137,0.06297437892350562
0.4381270903010034,0.012753498645013059,0.0637691649763621
0.4406354515050167,0.012914457800489441,0.06457398185255782
0.44314381270903014,0.013077448386748299,0.0653889561489466
0.44565217391304346,0.01324249604203934,0.06621421606014209
0.4481605351170569,0.013409626728187138,0.06704989139866947
0.4506688963210702,0.013578866734674806,0.06789611361538848
0.45317725752508364,0.013750242682779388,0.068753015820176
0.45568561872909696,0.0139237815297593,0.06962073280285627
0.4581939799331104,0.01409951057309472,0.07049940105440879
0.4607023411371237,0.014277457454781418,0.07138915878843692
0.46321070234113715,0.014457650165678852,0.07229014596290483
0.46571906354515047,0.014640117049913047,0.07320250430215967
0.4682274247491639,0.01482488680933517,0.07412637731922046
0.4707357859531773,0.015011988508036226,0.07506191033834832
0.47324414715719065,0.015201451576918858,0.07600925051791793
0.47575250836120403,0.015393305818326784,0.07696854687355256
0.4782608695652174,0.015587581410732666,0.07793995030157157
0.4807692307692308,0.01578430891348517,0.07892361360272632
