Hop,Pure_Willow,Pure_Helios,Willow_to_Helios_at_25,Willow_to_Helios_at_50,Alternating,Phi_No_QEC,Phi_Basic,Phi_Advanced,Phi_Willow
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9999005206263473,0.9951278279414836,0.99989989018749,0.9999021615422342,0.9998997829146368,0.9586096612575583,1.0,1.0,1.0
2,0.999801930711649,0.9902577873589656,0.9997986277406969,0.9998036418459603,0.9998009938531257,0.9195358586990998,1.0,1.0,1.0
3,0.9997029430356246,0.9852775114934686,0.9996977819154447,0.9997010093276788,0.999696284774932,0.898411624890801,1.0,1.0,1.0
4,0.9996019696160119,0.9804602886690883,0.9995961942837264,0.9996051304851844,0.9995926766586432,0.865361955551769,1.0,1.0,1.0
5,0.9995006859145316,0.9754520702885959,0.999494522997687,0.9995035111755844,0.999490792427016,0.8308807455458269,1.0,1.0,1.0
6,0.9994010800870022,0.9704609415842363,0.9993975731888022,0.9993993902209012,0.9993885381883115,0.7896636321181049,1.0,1.0,1.0
7,0.9993059952227171,0.9657291143562482,0.9992959303718418,0.9992989732732496,0.9992894761386373,0.7497729689862934,1.0,1.0,1.0
8,0.9992047797755149,0.9606240993716241,0.9991888689054295,0.9991982134871672,0.9991906656637121,0.7044987446161525,1.0,1.0,1.0
9,0.9991056001118666,0.955884921227748,0.9990871701412292,0.9991007448460566,0.9990919767975879,0.6545421517646242,1.0,1.0,1.0
10,0.9990077948440688,0.9511482674843437,0.9989796447231448,0.9989994284237783,0.9989905692598713,0.6056457395263674,1.0,1.0,1.0
11,0.9989076635448594,0.9463093540243933,0.9988785547315394,0.9988999647663956,0.9890006635672716,0.5688407748975463,1.0,1.0,1.0
12,0.9988081240862446,0.9417293350405863,0.9987770904429996,0.998801676460212,0.9841108505268199,0.478072633658565,1.0,1.0,1.0
13,0.9987063316266973,0.9369743012563796,0.9986801485656972,0.9987051572453739,0.9792489404788837,0.3911993601589762,1.0,1.0,1.0
14,0.9986062002679021,0.9322863688127746,0.9985810035886907,0.9986061058893607,0.9743630467719673,0.31373958008076247,1.0,1.0,1.0
15,0.9985046165043003,0.9276518040517885,0.9984818649745708,0.9985071455184883,0.9696008605496912,0.23484254543256475,1.0,1.0,1.0
16,0.9984061609435074,0.9232266984051608,0.9983822822047976,0.9984039927653832,0.964615843327713,0.03688190465801642,1.0,1.0,1.0
17,0.998310040822871,0.918450223617384,0.9982808993673434,0.9983029422888363,0.9598220523576785,0.09521366555011489,1.0,1.0,1.0
18,0.9982161344652675,0.9137885233702162,0.9981827955099489,0.998204743419964,0.9550258929442814,0.0919427457534973,1.0,1.0,1.0
19,0.998114953940536,0.909028021428747,0.9980903349479049,0.9981079062738101,0.9500519842034559,0.08903892822605852,1.0,1.0,1.0
20,0.998018130992484,0.9044980560707377,0.9979919620793175,0.9980118856333741,0.9453215672848022,0.08594518816816782,1.0,1.0,1.0
21,0.9979182226274487,0.8999017566004393,0.9978914385349753,0.9979155061310585,0.9358683516119539,0.08156986004567074,1.0,1.0,1.0
22,0.9978209446620457,0.8955864075210137,0.9977899792704458,0.9978154018835056,0.9357780714316065,0.07831018405121302,1.0,1.0,1.0
